zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-08-22,84.2,64.6,Sunny
90045,Los Angeles,California,2026-08-23,89.8,63.3,Sunny
90045,Los Angeles,California,2026-08-24,82.9,72.5,Sunny
10001,New York,New York,2026-08-23,84.7,67.6,Sunny
10001,New York,New York,2026-08-24,81.1,68.6,Sunny
10001,New York,New York,2026-08-25,80.5,66.8,Sunny
60601,Chicago,Illinois,2026-08-23,71.3,64.7,Sunny
60601,Chicago,Illinois,2026-08-24,70.4,63.3,Sunny
60601,Chicago,Illinois,2026-08-25,77.9,63.5,Sunny
98101,Seattle,Washington,2026-08-22,76.5,59.0,Patchy rain nearby
98101,Seattle,Washington,2026-08-23,77.1,59.2,Patchy rain nearby
98101,Seattle,Washington,2026-08-24,76.5,54.9,Sunny
33101,Miami,Florida,2026-08-23,89.6,77.0,Sunny
33101,Miami,Florida,2026-08-24,88.4,84.8,Patchy rain nearby
33101,Miami,Florida,2026-08-25,88.9,84.4,Patchy rain nearby
77002,Houston,Texas,2026-08-23,101.5,77.5,Sunny
77002,Houston,Texas,2026-08-24,101.3,79.3,Sunny
77002,Houston,Texas,2026-08-25,101.4,79.7,Sunny
85001,Phoenix,Arizona,2026-08-22,120.0,88.2,Sunny
85001,Phoenix,Arizona,2026-08-23,108.3,90.9,Sunny
85001,Phoenix,Arizona,2026-08-24,103.5,93.6,Partly Cloudy
19103,Philadelphia,Pennsylvania,2026-08-23,83.0,68.5,Sunny
19103,Philadelphia,Pennsylvania,2026-08-24,80.6,64.1,Sunny
19103,Philadelphia,Pennsylvania,2026-08-25,82.7,64.3,Sunny
78205,San Antonio,Texas,2026-08-23,102.1,77.4,Sunny
78205,San Antonio,Texas,2026-08-24,99.9,73.3,Sunny
78205,San Antonio,Texas,2026-08-25,100.3,73.0,Sunny
92101,San Diego,California,2026-08-22,87.6,68.5,Sunny
92101,San Diego,California,2026-08-23,79.6,68.9,Sunny
92101,San Diego,California,2026-08-24,79.4,73.8,Sunny
75201,Dallas,Texas,2026-08-23,107.4,83.8,Sunny
75201,Dallas,Texas,2026-08-24,105.8,85.9,Overcast
75201,Dallas,Texas,2026-08-25,105.8,82.8,Sunny
95113,San Jose,California,2026-08-22,80.1,56.7,Sunny
95113,San Jose,California,2026-08-23,93.0,61.0,Overcast
95113,San Jose,California,2026-08-24,92.4,60.7,Overcast
78701,Austin,Texas,2026-08-23,105.4,80.2,Sunny
78701,Austin,Texas,2026-08-24,102.4,75.6,Sunny
78701,Austin,Texas,2026-08-25,102.7,75.0,Sunny
32801,Orlando,Florida,2026-08-23,95.5,74.8,Patchy rain nearby
32801,Orlando,Florida,2026-08-24,97.8,78.5,Overcast
32801,Orlando,Florida,2026-08-25,97.1,75.4,Sunny
80202,Denver,Colorado,2026-08-23,96.5,68.6,Overcast
80202,Denver,Colorado,2026-08-24,95.3,74.4,Sunny
80202,Denver,Colorado,2026-08-25,93.2,69.8,Sunny
02108,Boston,Massachusetts,2026-08-23,75.3,65.4,Light drizzle
02108,Boston,Massachusetts,2026-08-24,81.7,64.7,Sunny
02108,Boston,Massachusetts,2026-08-25,80.4,60.8,Sunny
97201,Portland,Oregon,2026-08-22,76.5,57.2,Sunny
97201,Portland,Oregon,2026-08-23,80.4,61.2,Sunny
97201,Portland,Oregon,2026-08-24,88.1,56.8,Sunny
89101,Las Vegas,Nevada,2026-08-22,116.1,84.7,Sunny
89101,Las Vegas,Nevada,2026-08-23,99.7,84.7,Sunny
89101,Las Vegas,Nevada,2026-08-24,100.6,85.2,Sunny
37201,Nashville,Tennessee,2026-08-23,90.0,65.7,Sunny
37201,Nashville,Tennessee,2026-08-24,75.6,69.1,Overcast
37201,Nashville,Tennessee,2026-08-25,84.9,68.3,Partly Cloudy
30303,Atlanta,Georgia,2026-08-23,91.2,74.1,Sunny
30303,Atlanta,Georgia,2026-08-24,80.4,67.6,Overcast
30303,Atlanta,Georgia,2026-08-25,81.1,66.5,Light rain shower
